customer_id,name,Recency,Frequency,Monetary,RFM_Score
1,Allison Hill,7,6,1575.32,554
4,Patty Perez,6,6,3948.7,555
66,Edward Williams,3,6,4888.89,555
85,Elizabeth Mendez,30,4,3036.58,445
89,Dana Williams,2,6,5301.45,555
91,Joel Brown,24,4,4379.19,445
105,Melissa Walker,3,6,3286.06,555
115,Mariah Williams,25,4,3793.54,445
116,Darryl Davis,16,5,2186.76,554
117,Daniel Mosley,41,5,2001.03,454
121,Alyssa Roman,12,4,2889.35,545
132,Lucas Drake,7,7,3539.45,555
140,Gabriel Hill,6,4,2362.72,544
161,Betty Hughes,1,5,1884.95,554
166,Jennifer Herrera,2,4,2066.95,544
181,Jaime Harris,2,4,3980.2,545
183,Kyle Davis,21,7,5031.49,455
192,Carrie Deleon,9,5,3499.04,555
193,Lisa Foster,2,4,3344.23,545
194,Kimberly Johnson,42,6,2387.68,454
198,Wayne Johnson,28,7,3634.46,455
202,Danielle Williams,4,7,3563.56,555
208,Steve Smith,22,4,3255.6,445
213,Patrick Sanchez,16,7,2446.37,554
220,Tonya Lee,1,6,3953.8,555
226,Crystal Roberts,28,6,4230.82,455
234,Clifford Stark,24,5,2689.83,455
250,Angela Stevens,35,4,3764.63,445
256,Jody Garcia,4,7,5799.98,555
287,Jennifer Bullock MD,3,6,4370.33,555
293,David Davis,10,6,2465.45,554
297,Brian Woodard,2,5,1952.7,554
320,Rebecca Zimmerman,7,4,2324.92,544
323,Antonio Marshall,11,4,3176.68,545
325,Bryce Taylor,19,5,3612.41,455
333,Larry Carter,30,4,2802.25,445
338,Maria Hicks,32,4,2840.79,445
349,Brian Phillips,3,4,2335.53,544
356,Tracy Harris,26,6,1622.0,454
361,Robert Lopez,35,4,3277.57,445
362,Derek Moses,4,7,4456.56,555
367,Joseph Boone,21,4,2769.39,445
375,Mrs. Kimberly Clark,6,6,2202.78,554
390,Sarah Castro,2,4,3639.61,545
410,Christopher Harrison,13,4,3444.01,545
412,Morgan Bryan,3,4,1827.03,544
438,Jasmine Ross,14,4,1934.98,544
450,Dean Cook,5,7,6241.56,555
456,Gabrielle Clayton,9,4,2375.39,544
481,Brandon Ellis,5,4,1681.95,544
494,Amy Davis,8,7,1785.14,554
501,Jenny Johnson,32,7,3777.64,455
519,Hector Mcgee,39,7,5253.22,455
525,Michael Nguyen,3,3,2524.96,544
529,Kyle Clark,29,6,2752.83,455
538,Michael Hodges,10,4,5198.22,545
540,Margaret Murphy,10,7,2069.49,554
545,Zachary Ramos,1,4,2653.39,545
546,Juan Carroll,7,7,3333.45,555
557,Robert Guerra,5,4,3211.59,545
566,Richard Gonzalez,26,5,2356.83,454
567,Christina Hernandez,3,4,3210.54,545
570,Sydney Burns,12,6,2976.08,555
574,Caleb Gill,28,4,4069.41,445
577,Alexander Taylor,19,3,3351.9,445
579,Christopher Mccoy,22,3,3629.66,445
581,Steven Valentine,32,3,2533.56,445
596,Chelsea Smith,3,4,1751.58,544
606,Mrs. Sara Jacobs,33,4,2043.68,454
611,Robert Bryan,14,4,1666.15,554
613,Mr. Ryan Obrien MD,17,4,2981.93,555
615,Kevin Holmes,30,7,3000.11,455
631,Samuel King,10,5,2551.54,555
632,Jose Simpson,6,4,2226.8,554
642,Shawn Davis,28,6,3058.12,455
651,Andrew Smith,24,7,2865.7,455
657,Joshua Miller,19,4,2595.94,455
674,Wendy Carpenter,24,4,2033.64,454
696,Samuel Williams,29,6,4714.48,455
715,Jessica Atkins,26,7,3558.01,455
726,Joshua Barnes,40,4,2519.38,454
743,Maria Gregory,27,5,2204.27,454
749,Julia Gray,19,4,2147.13,454
750,Margaret Miller,3,5,2929.19,555
753,Justin Hurst,8,4,3009.49,555
755,John Carter,7,5,3921.06,555
757,Kenneth Hurley,9,3,2669.18,545
760,Dawn Haynes,6,4,2830.98,555
762,Stephen Gibbs,1,4,1673.9,554
764,Daniel White,3,7,2299.12,554
770,Felicia Smith,4,4,1729.93,554
774,Colin Graves,27,6,3004.78,455
776,Christopher Hicks,8,5,2270.58,554
777,Amy Davis,35,4,3889.92,455
784,Tonya Campbell,31,5,2959.03,455
802,Joy Dorsey,8,6,4068.48,555
804,Lisa Mccarty,43,3,3233.9,445
819,Tara George,20,4,3195.37,455
825,Elizabeth Smith PhD,20,4,4392.25,455
827,Amber Martin,24,4,3256.94,455
830,Darren Anthony,2,4,3066.88,555
832,Jenny Soto,5,5,5416.14,555
835,Richard Ellis,10,4,2951.33,555
840,Jessica Oneal,34,4,2667.71,455
849,Andrew Williams,5,6,3883.45,555
858,Ralph Gray,1,3,3776.9,545
862,Courtney Young,40,4,2475.43,454
876,Gabrielle Daniels,1,4,1718.09,554
886,Oscar Kelly,28,5,2956.75,455
887,Rachel Mason,26,4,3159.55,455
889,Krista Vargas,40,4,5268.14,455
907,Jamie Walker,7,6,3917.65,555
925,William Fuentes,9,3,1921.5,544
927,Amanda Watts,39,4,2822.09,455
944,Savannah Estrada,6,4,2582.31,555
959,Laura Daniel,39,6,4435.5,455
963,Michelle Larson,23,4,4150.45,455
974,Christine Mills,32,3,2715.1,445
980,Joseph Anderson,15,7,3762.68,555
981,Yolanda Smith,12,4,4430.84,555
985,Patrick Ortega,33,6,3305.88,455
992,Courtney Whitehead,28,6,3230.37,455
994,Ashley Jones,32,3,3863.35,445
