customer_id,name,Recency,Frequency,Monetary,RFM_Score
7,Theresa Miller,302,3,323.16,131
11,Whitney Peters,23,3,379.46,431
14,Larry Robbins,440,2,463.26,111
16,Rita Adams,66,2,637.29,312
20,Mark Lee,33,3,664.6,432
23,Michael Powell,16,3,1977.3,534
25,Julie Scott,72,4,897.64,342
30,Shane Andrews MD,210,2,881.4,112
31,Jeremy Dalton,329,2,343.72,111
33,Jessica Harrison,63,1,697.65,312
35,Sean Murray,50,1,984.62,312
45,Stacey Pena,202,3,288.31,131
49,Matthew Rich,65,6,817.81,352
50,Kristina Rivera,256,2,932.95,112
55,Nichole Walker,188,1,182.48,111
58,Amanda Zimmerman,401,1,22.07,111
67,Jonathan Glass MD,526,1,594.97,112
83,Kimberly Snyder DVM,73,2,934.8,312
86,Garrett Meyer,50,2,857.83,312
87,Laura Williams,242,2,260.18,111
90,Travis Hobbs,46,1,644.3,312
93,Jose Crawford,39,3,1364.84,433
94,Kathryn Pena,297,2,882.81,112
99,Michael Guerrero,360,1,259.58,111
100,Jerry Peters,310,2,307.79,111
104,James Hunter,44,2,639.34,312
114,Stephanie Farmer,275,2,313.2,111
122,Jordan Williams,3,3,2311.9,534
125,William Miller,588,2,421.08,111
130,Dr. Jonathan Price,468,1,14.58,111
135,James Payne Jr.,234,1,385.49,111
137,Jeffrey Phillips,198,2,686.06,112
138,Jeremiah Baker,28,4,921.72,442
139,Laura Mcgrath,194,2,258.23,111
144,Scott Chan,7,3,1597.14,534
149,Donald Juarez,22,3,1039.17,433
165,Ryan Smith,305,1,114.61,111
168,Brian Medina,31,3,1216.91,433
176,Deborah Stephens,90,2,1478.38,323
178,Jennifer Costa,48,2,1842.72,324
204,Amanda Pace,33,3,2507.66,434
206,Corey Sandoval,4,3,1864.96,534
210,Randy Adkins,139,3,1490.11,233
221,Steven Huang,95,1,1007.96,312
222,Carla Thomas,364,1,228.06,111
223,Kyle Smith,66,2,232.74,321
225,Melissa Salazar,16,3,2073.06,534
227,Erica Smith,153,3,1362.25,233
228,Krystal Gregory,25,3,1872.6,434
229,Denise Miller,85,2,1353.3,323
230,Dr. Eric Murphy,198,1,209.68,111
241,Patrick Horne,72,2,362.79,321
243,Brittany Griffin,45,4,616.39,342
244,Sarah Brown,21,3,1190.67,433
245,Melanie Williams,24,2,1518.09,423
258,Brian Owens,52,2,290.45,321
260,Tiffany Anderson,426,2,565.02,121
264,Arthur Wiggins,109,2,1352.82,223
265,Harry Bryant,183,3,716.66,232
270,Sandra Kennedy,59,1,572.65,312
271,Sarah Martin,93,2,552.79,321
272,Kimberly Brennan,108,2,1377.45,223
274,Melissa Parker,503,2,420.47,121
277,Michele Hawkins,366,1,86.1,111
279,Maria Ross,65,2,508.72,321
280,Paige Guerrero,326,3,1427.05,133
283,Ana Torres,233,3,1544.69,133
285,Billy Colon,222,1,499.5,111
286,David Francis,151,3,1434.31,233
288,Brenda Rodriguez,312,2,552.98,121
290,Stephanie Jennings,239,1,39.56,111
294,Christopher Sparks,633,1,142.87,111
295,Kaitlin Gomez,40,3,704.18,432
299,Jordan Moses,47,2,376.16,321
300,Samuel Martin,24,2,1060.4,423
302,Steven Skinner,269,2,534.74,121
303,Cassie White,405,3,1368.85,133
305,Angelica Carrillo,33,4,752.0,442
306,Linda Spencer,369,2,235.86,121
307,Maria West,82,2,2239.74,324
311,Dr. Christian Cox PhD,25,3,993.75,432
316,Stephen Alvarez,191,1,307.42,111
318,Charles Bowers,89,3,391.47,331
322,Christopher Mendez,247,2,149.44,121
328,Ana Anderson,72,2,419.34,321
329,Nathan Williams,56,2,299.26,321
342,Jennifer Gonzales,127,3,1114.19,233
348,Nicole James,121,2,1212.1,223
350,Tanya Brooks,47,2,1492.36,323
354,Paige Meyer,11,3,2203.73,534
360,Paul Hale,18,3,1008.04,432
363,April Harrell,15,3,2276.04,534
364,Lawrence Ross,18,3,2129.33,434
365,Daniel Mullins,19,2,1382.02,423
368,Kyle Thomas,58,2,1391.39,323
370,Carlos Goodwin,37,4,1170.82,443
372,Adam Wilson,69,2,289.2,321
377,Melinda Russell,298,2,446.23,121
378,Sharon Arnold,96,2,1176.64,323
381,Haley Gamble,25,2,1130.48,423
382,Donna Webb,57,2,147.03,321
383,Johnathan Miller,193,1,65.86,111
384,Abigail Stephenson,48,2,321.31,321
385,Alex Moore,43,4,747.42,442
389,Patrick Martinez,39,3,1662.37,434
394,Jon Stevens,37,2,1353.25,423
397,Melinda Mcdaniel,91,1,690.54,312
398,Steven Mcdaniel,195,1,489.23,111
401,Jessica Brown,90,4,1007.31,342
404,Larry Bradford,226,2,307.69,121
405,Tony Smith,8,3,1572.53,534
408,Jennifer Vincent,359,1,882.15,112
417,Lori Green,199,1,318.63,111
420,Joseph Scott,240,2,368.06,121
424,Francisco Gonzalez,32,2,1233.68,423
425,Ryan Powell,39,3,802.68,432
428,Mr. Ralph Dawson,207,1,743.04,112
439,Sandra Davis,52,2,239.09,321
440,Marc Yoder,60,2,1350.13,323
442,Jill Brown,318,1,116.36,111
443,Kimberly Alvarez,47,2,1506.92,323
444,Charles Khan,368,1,1001.38,112
447,Kristie Gonzalez,94,2,365.01,321
448,Gina Fleming,316,1,370.8,111
449,Alison Nicholson,35,2,1033.22,423
451,Gregory Woods,554,1,508.86,111
452,Stephanie Bell,373,1,318.1,111
457,Michael Hill,312,2,337.34,121
460,Sandra Becker,259,3,1477.95,133
465,Leslie Jensen,7,3,2540.27,535
469,Megan Jones,322,1,486.9,111
471,Howard Castillo,164,3,1119.34,233
472,Jennifer Hart,337,2,131.58,121
475,Angela Wagner,75,2,313.72,321
477,Eric Thomas,45,4,1013.96,342
479,Paul Martin,74,2,1598.9,324
483,Robert Thomas,162,3,1452.2,233
493,Elizabeth Arellano,76,2,2031.24,324
496,Patricia Wood,32,3,656.15,432
499,John Williams,59,2,126.78,321
502,Destiny Powers,294,2,211.66,121
504,Haley Clark,202,3,1175.3,133
507,Kathy Miller,277,3,1053.5,133
512,Whitney Sullivan,228,1,130.81,111
513,Barbara Gonzalez,28,3,274.41,441
514,Melissa Curtis,57,2,2743.35,325
523,Alexis Kim,662,1,978.62,112
526,Christina Martin,49,2,1022.8,323
536,Christopher Walters,634,1,460.22,111
541,Cynthia Carpenter,97,3,623.84,342
542,Rebecca Daniel,38,3,1197.29,443
551,Amy Hawkins,261,1,839.52,112
554,Annette Meyer,71,2,1645.03,324
561,Matthew Gonzales,339,1,396.45,111
563,Jordan Calhoun MD,36,2,1509.11,423
565,Elizabeth Wall,300,1,197.44,111
571,Debra Brooks,60,4,794.29,342
588,Kayla Sullivan,482,1,144.67,111
602,Kelly Ortega,42,3,1368.81,443
605,Courtney Solomon,87,2,1965.75,324
607,Taylor Solomon,57,2,2088.06,324
610,Patrick Henderson,138,2,1186.25,223
616,Crystal Collins,108,2,1502.53,223
620,James Marquez,38,3,1057.78,443
625,Sarah Robinson,59,2,3276.36,325
630,Zachary Martinez,549,2,467.84,121
635,William Lewis,159,2,1083.73,223
645,Tracy Wright,44,4,835.2,352
647,Christina Rodriguez,68,2,361.51,321
650,Heather Blake,370,1,262.38,111
656,Ashley Neal,308,1,169.22,111
659,James Wilson,22,2,1236.37,423
665,Michael Carter,165,2,1133.12,223
666,Megan Morgan,316,2,90.65,121
670,Grace Johnson,270,1,42.5,111
683,April Rodriguez,451,1,262.98,111
685,Margaret Humphrey,59,4,1004.13,352
687,Willie Shelton,192,3,205.0,141
689,Andrea Miller,173,4,295.8,251
690,Valerie Simpson,281,1,28.21,111
692,Christina Gomez,35,3,557.91,441
694,Jaclyn Johnson,67,2,1658.32,324
705,Juan Young,126,2,1236.82,223
708,Andrew Juarez,396,1,249.2,111
710,Amy Morrow,63,2,419.78,331
712,Jessica Rogers,57,3,285.33,341
714,Jasmine Farmer,91,3,559.31,341
719,Kelsey Kelly,178,2,1082.68,233
722,Bryan Perry,113,2,1545.5,233
724,Robert Burton,21,2,1168.54,433
725,Laurie Roberts,380,1,254.58,111
730,Nicole Wallace DDS,3,2,2311.64,534
738,Lindsey Reed,201,1,445.46,111
739,Bob Campbell,33,2,1059.83,433
740,Kyle David,182,2,801.12,232
747,Victoria Fernandez,208,3,387.26,141
751,Leah Kim,173,2,699.87,232
758,Catherine Barker,37,3,1543.08,443
761,Jennifer Oconnor,22,3,1098.19,443
768,Tina Mooney,123,2,1087.07,233
769,Jeffrey Sloan,20,4,1348.9,453
772,Daniel Taylor,107,2,760.72,232
775,Kevin Edwards,21,3,1287.54,443
778,Brittany Phelps,84,3,777.39,342
779,Taylor Gonzales,25,2,787.0,432
780,Tony Johnson,271,1,182.73,111
781,Tracy Butler,29,2,762.28,432
783,Gwendolyn Pena,41,2,123.37,431
787,Desiree Allen,103,2,1266.02,233
788,Randy Perez,37,2,827.89,432
791,Francisco Bates,86,2,288.96,331
792,Jeanette Knox,52,3,877.94,342
795,Bonnie Clark,4,2,2959.97,535
796,Stephen Haney,19,3,1464.15,443
797,Erica Smith,10,2,2914.54,535
798,Isabella Patterson,74,2,451.75,331
800,Jeffery Barry,11,2,1754.41,534
801,Melissa Parker,1,2,1597.4,534
807,Garrett Fisher,426,2,264.47,131
811,Derek Clark,193,1,55.48,111
812,Dr. Austin Baker,8,2,1877.6,534
813,Tammy Moore,35,3,1022.07,442
814,Nicholas Martinez,27,2,176.88,431
817,Brittany Byrd,133,4,418.26,251
818,Teresa Bauer,112,2,1438.45,233
822,Mr. Christopher Barr MD,105,2,1536.58,233
826,Jasmine Morales,120,2,996.17,232
828,Daniel Reynolds,43,2,535.85,431
831,Matthew Moody,134,2,940.55,232
833,Samuel Day,128,2,1253.05,233
834,Gwendolyn Walker,568,2,1484.77,133
838,Kara Whitaker,132,2,1227.48,233
846,Daniel Miller,325,1,823.76,112
848,James Martin,94,3,1012.33,342
851,Lisa Prince,63,1,578.63,312
853,Nancy Williamson,119,2,684.18,232
856,Brenda Gonzales,28,4,1204.6,453
865,David Mahoney,117,2,767.16,232
875,Aaron Black,244,2,1464.75,133
881,Kelly Ellis,188,2,64.59,131
885,Adrian Gutierrez,201,2,387.72,131
888,Angela Barber,157,2,796.82,232
895,Richard Campbell,20,2,459.02,431
