customer_id,name,Recency,Frequency,Monetary,RFM_Score
3,Matthew Mejia,70,4,1781.83,344
5,Zachary Hicks,44,4,3453.65,345
12,Todd Hudson,37,4,1661.02,444
40,David Jenkins,47,4,1668.55,344
52,Jacob Griffith,57,4,3283.97,345
63,Sara Santos,48,5,3340.1,355
69,Jacob Wallace,59,5,4353.37,355
71,Eric Key,78,4,4087.49,345
78,Kim Erickson,44,5,2906.1,355
80,Diana Evans,87,3,2973.72,335
84,Adriana Reyes,32,4,1627.12,444
88,Sandy Avila,40,3,3749.95,435
126,Richard Richards,96,4,2407.52,344
147,Katie Bruce,9,4,1388.83,543
152,Brian Wallace,4,4,1539.28,543
159,Lindsay Moran,93,6,3047.35,355
167,Allison Black,31,4,2202.22,444
169,Bryan Smith,72,7,3044.82,355
180,Melissa Patterson,24,4,1787.63,444
200,Natasha Dunn,66,7,4206.99,355
205,John Preston,1,4,1127.61,543
215,David Moreno,59,5,1899.44,354
237,Charles Hernandez,7,4,1277.43,543
246,Brian Griffin,18,3,4638.54,435
257,Daniel Ruiz,63,7,3330.84,355
282,Diane Brown,57,4,2219.19,344
296,William Porter,62,7,3514.54,355
298,Mary Lewis,4,4,1201.33,543
304,John Holt,42,4,2148.22,444
319,Lisa Gill,56,5,3564.01,355
337,James Greene,56,4,2226.97,344
341,Dr. Nicole Singh DVM,53,4,2303.72,344
357,Douglas Hart,22,3,3211.14,435
374,Ernest Williams,38,3,4638.57,435
376,Matthew Martin,76,4,2833.18,345
380,David Davis,23,4,1614.78,444
393,Alexandra Kelly,52,3,2794.54,335
414,Dustin Keller,60,4,3004.28,345
429,Paige Collins,18,4,1654.95,444
430,Shawn Mcgee,14,4,1519.01,543
436,Ellen Williams DDS,52,6,2631.17,355
458,Karen Richard,56,7,2543.57,355
470,Mark Davis,26,4,2071.42,444
480,Rebekah Crane,58,6,2148.14,354
482,Christina Watkins,1,4,1317.35,543
491,Debra Palmer,9,4,1310.88,543
505,Becky Foster,50,4,2182.96,344
508,Christina Anderson,1,4,1433.34,543
511,Spencer Elliott,35,4,1699.89,444
522,Scott Stein,22,4,2345.59,444
524,Sabrina Owens,96,4,1570.35,344
544,Nicole Medina,41,3,1656.8,444
549,Joshua Maldonado,15,4,1229.85,543
580,Rachel Peters,79,3,1641.36,344
583,Linda Blake,3,4,1277.05,543
636,Christina Martin,27,3,1806.97,444
646,Jacob Rowland,52,3,2478.4,344
652,Abigail Wilkinson,97,4,2851.06,355
653,Cheryl Short,89,5,3643.22,355
654,Elizabeth Mcdaniel,51,4,2478.37,354
661,Kayla Ewing,44,7,1772.28,354
662,Teresa Middleton,78,7,3151.97,355
667,Jordan Owens,13,3,1513.76,543
695,Felicia Young,81,5,4314.28,355
697,Kristin Wang,47,6,3034.79,355
704,Tammy Rios,85,3,3522.77,345
713,Alan Morrow,86,5,1941.54,354
756,Kevin Cole,87,4,2121.32,354
763,Tara Gordon,54,4,1844.07,354
766,Scott Arias,69,4,1600.06,354
785,Jeanette Norris,37,3,1764.65,444
789,Nancy Thompson,81,3,2765.35,345
790,John Rodriguez,68,4,1786.71,354
799,Christopher Smith,54,6,3258.61,355
803,Ann Velasquez,9,3,1120.6,543
808,Hannah Mitchell,68,3,2046.24,344
829,Christopher Sanchez,40,3,2442.36,444
837,Jimmy Sanders,59,4,3654.74,355
842,Jacqueline Walker,48,4,3040.81,355
845,Daniel Barton,70,4,3495.12,355
857,Samantha Allen,80,4,2418.02,354
859,Michael Payne,92,3,2008.56,344
860,Tammy Johnston,56,3,1980.66,344
869,William Thomas,49,7,4558.56,355
870,Jill Kirby,89,4,5489.1,355
883,Christine Dennis,63,4,1657.96,354
891,Jill Garner,17,3,1533.47,543
897,Mr. Wyatt Henry PhD,64,4,2806.01,355
898,Christopher Dickerson,10,3,1375.32,543
901,Austin Davenport,12,3,1402.96,543
912,David Ellison,10,3,1522.57,543
914,Jerome Howell,35,2,2651.32,435
919,Daniel Deleon,35,3,2278.46,444
928,Sara Johnson,10,3,1182.57,543
930,Jose Cook,36,3,2091.96,444
937,Stephen Rose,89,6,4204.5,355
941,Cindy Carlson,61,4,3476.1,355
952,Joshua Smith,71,7,2966.75,355
960,James Hess,84,4,1840.1,354
964,Charles Weaver,25,3,1786.55,444
975,Jessica Robinson,54,4,3909.83,355
983,James Nelson,11,3,1344.88,543
998,Jasmine Acosta,18,3,1817.8,444
