customer_id,name,email,phone,city,state,registration_date,age,gender
1,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,Robinsonshire,Louisiana,2025-01-20,55,Male
2,Robert Wolfe,joshua35@example.org,361-855-9407,New Kellystad,Oregon,2023-10-27,60,Female
3,Matthew Mejia,wyattmichelle@example.com,575-425-5341x928,Grayside,Iowa,2024-10-21,47,Female
4,Patty Perez,trujillorichard@example.org,495.537.6724,Juliechester,Pennsylvania,2024-03-26,53,Male
5,Zachary Hicks,camposmichelle@example.org,+1-326-691-6697x8480,Danielchester,Hawaii,2024-05-05,52,Female
6,Sherri Baker,williamrodriguez@example.net,289-332-5288x0957,Natashaport,Kansas,2023-07-21,49,Female
7,Theresa Miller,wcabrera@example.net,001-822-778-2489x63834,Lammouth,Delaware,2023-12-07,52,Male
8,Alex Spencer,adrianzimmerman@example.org,510.451.8347,Sanchezfort,Nebraska,2023-10-26,34,Female
9,Jeffrey Henderson,dshields@example.net,+1-410-665-1333x8726,Wrightland,New Hampshire,2025-01-19,43,Female
10,Annette Pearson,novaksara@example.org,(267)873-6026,Saramouth,Maine,2024-04-13,33,Female
11,Whitney Peters,smoore@example.org,4982050097,Port Jacobland,Utah,2025-02-27,50,Female
12,Todd Hudson,harveyrobert@example.net,001-485-643-5346,Stewartland,Alabama,2024-05-09,62,Male
13,Dr. Angel Lewis MD,nicole35@example.com,(378)449-8084,Darrellville,West Virginia,2024-07-17,54,Female
14,Larry Robbins,gracefarrell@example.net,840.216.4005x2427,North Sierraberg,Ohio,2023-07-05,36,Female
15,Juan Jordan,parkerrachel@example.org,(833)215-8692x322,Lake Sandra,Nebraska,2025-01-15,20,Female
16,Rita Adams,reyesbenjamin@example.com,837.754.3303,Michelleview,Minnesota,2024-09-19,43,Female
17,William Herrera,wilsontara@example.org,001-340-819-6556,West Bradley,Nevada,2023-06-10,18,Female
18,Kimberly Ball,michaeljones@example.net,895-814-8465x64823,New Ashley,Montana,2024-07-13,32,Male
19,Dustin Jordan,steven73@example.net,221.248.9513x4332,South Cheryl,Wyoming,2023-08-01,48,Female
20,Mark Lee,psnyder@example.org,+1-401-963-2870x8317,Stephaniemouth,South Carolina,2025-01-24,18,Male
21,Jessica Meadows,vmerritt@example.com,643.748.7347x143,Patricialand,Florida,2023-09-27,34,Male
22,Christian Lewis,irussell@example.com,(803)566-9096x70546,Robinsonchester,New York,2023-06-30,35,Male
23,Michael Powell,marycalhoun@example.net,+1-906-499-0162,West Nicholasborough,New Jersey,2024-02-02,42,Female
24,Jamie Walton,fking@example.com,5802531003,East David,Texas,2023-08-31,24,Female
25,Julie Scott,gary91@example.org,619-304-9663x1931,West Amandastad,California,2024-06-12,42,Male
26,Samuel Short,hamiltonmichael@example.com,001-626-728-4987x769,Port Sarah,Louisiana,2025-03-14,48,Male
27,John Bishop,frogers@example.com,(273)554-5494,East Jenniferfort,Oklahoma,2024-12-14,24,Male
28,Maria Henry,davisjeffrey@example.net,749.757.8856,Nelsonview,Iowa,2023-09-05,59,Male
29,Bryan Herrera,jamesrodgers@example.com,001-498-694-1343x5240,North Angelaberg,South Dakota,2025-03-04,42,Female
30,Shane Andrews MD,dpeterson@example.com,511.367.1902x2941,Obrienbury,Wyoming,2024-06-25,62,Male
31,Jeremy Dalton,ntorres@example.org,+1-213-834-1232x812,Norrisfort,Maine,2023-07-02,35,Female
32,Douglas Heath,mcdanielsandra@example.net,001-336-218-3242,Port Kyle,West Virginia,2025-01-31,18,Female
